post_id,comment_id,author,body,score,created_utc,ups,downs,result
1odsh8m,nkwb6t2,addictedtodesserts,"I mean, it depends on what your definition of booty shorts is. because I googled images just to be sure, and there's some where there's definitely butt cheeks hanging out. My impression was that they cover the cheeks but don't go further down much.   It boils down to if you're being respectful to others vs. Someone telling you what you can and can't wear. I think showing butt cheeks, side boobs,  or wearing lingerie when someone comes over is crossing that respect line.  Same thing if a man has boxers and no pants. I get that I'm coming over to your house, but geez",26,1761189822.0,26,0,NTA
1odsh8m,nkwdrnc,Spiritual_Ground_778,"NAH. Would you go out in those shorts?    If not then I would change for guests coming over. If yes, then why bother.",17,1761190923.0,17,0,NAH
1odsh8m,nkw9y5q,BigBackeron,"I mean, it seems like at this point it's widely accepted that people can wear really short shorts in public places. In your own home I feel like you could have guests over even if you're wearing pajamas.   So you're NTA. Some people don't think people should wear ""booty shorts"" in public, but regardless of anyone's opinions on that, in your own living space it should be allowed.",15,1761189305.0,15,0,NTA
1odsh8m,nkwf8a1,SDBadKitty,"Soft YTA. You have a guest in your home. It's a matter of respect to have some decorum when a guest is in your home. You state in your own terms that these are ""booty shorts"". So,no, not guest appropriate. If this is your father's friend, I am guessing it's an ""older"" person as well. Yeah sure, it's your house.....but when you have a guest coming over, maybe try to put some pants or longer shorts on. (And, yes, I will change my clothes if I have a guest coming over. I'm not trying to welcome a guest in my pajamas or something like ""booty shorts"".)",7,1761191560.0,7,0,YTA
1odsh8m,nkwap7d,Impossible_Rain_4727,"NAH: If someone was visiting, I would be more mindful/intentional with my outfit choice. Like, I wouldn't 'dress up' as such, but I wouldn't wear what I would normally when I am home alone.  That said, I wouldn't say either of you are assholes for your differing views though.",7,1761189620.0,7,0,NAH
1odsh8m,nkwe26z,Swirlyflurry,"NAH  It’s your home, it’s fine for you to be comfortable there.  But if what you’re wearing makes someone uncomfortable, they are also free to leave. Especially with something like ‘booty shorts’, which can be anything from ‘slightly shorter shorts’ to ‘covers less than a pair of briefs and everyone can see your cheeks.’  Sounds like dad’s friend was doing you a favor, so putting on pants would have been a nice gesture.",9,1761191050.0,9,0,NAH
1odsh8m,nkwf92b,happiestnexttoyou,"I think he’s right, sorry.",10,1761191570.0,10,0,YTA
1odsh8m,nkwgcvb,WerewolfCommercial26,"Info: how short are the shorts?  I don't think you need to wear pants but if they are revealing it's kinda weird. If they arent something you'd wear to the grocery store you probably should change if someone is coming over.  I probably would change because I'd feel uncomfortable and depending on how short/tight they are, it could be inappropriate. Kinda like, I put a bra on whenever someone comes over. A certain level of decency should be adhered to when guests come over, even if it's very casual.",8,1761192056.0,8,0,INFO
1odsh8m,nkwcwc5,LowBalance4404,"It really depends.  My guideline is would I wear this to church or in front of my Nana? And no, I don't mean in terms of dressy, but in terms of are my ass cheeks and nips visible or not.  If you were wearing shorts and a t-shirt and your ass wasn't hanging on, what you had on was fine.",7,1761190547.0,7,0,NAH
1odsh8m,nkwf6nr,RazzmatazzOk2129,"For my dad's friend coming over to work, out of respect for the older generation,  I wouldnt have on anything I wouldn't wear to my dad's house.",6,1761191541.0,6,0,NAH
